; ;Nuovo ID;hallow_back;rilegatura_moderna;Colonna1;Collocazione;roman_converted;disambiguatore;numero_del_codice;numerazione_araba;numerazione_romana_alternativa;ulteriore_numerazione_arabaoromana;identificativo_parte;Spagnolo;note;titolo;materiale;datazione_i;datazione_f;lingua;fogli;altezza;ampiezza;rilegatura;tipo_rilegatura;materiale_rilegatura;preferred_manifest_url;color;color_rileg;is_digitized;marker_dim;alpha
40;41;m0037_0;0.0;0.0;0;[III 1 6];37;_0;XXXVII;35;0;0;0;87;0;S. Clementis Recognitionum libri X interprete Rufino et alia;membranaceo;500.0;800.0;0;265.0;323.0;252.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.846589293594366;0.5
41;42;m0038_0;0.0;0.0;0;[III 1 7];38;_0;XXXVIII;36;0;0;0;88-89;"f. 38 v. rozzi disegni di un uccello, una pera, un'anfora e di una santa di certo posteriori; f. 118 v. [...] traccia di una scrittura antichissima";Sulpicii Severi Vita b. Martini et alia opuscola;membranaceo;500.0;530.0;0;117.0;256.0;210.0;rilegato;pelle;0;/;blue;#2B9332;Non digitalizzato;5.0326821332901766;0.5
42;43;m0039_0;0.0;0.0;0;[III 1 8];39;_0;XXXIX;37;0;0;0;89-90;0;Cassiodori Senatoris Complexiones;membranaceo;500.0;700.0;0;110.0;280.0;230.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;4.971403469770134;0.5
43;44;m0040_0;0.0;1.0;0;[III 1 9];40;_0;XL;38;0;0;0;90-92;Venne sciolto nel 1968 (ma 1868) raccogliendo a parte i palinsesti;S. Gregorii M.P. Moralium in Job lib. VIII posteriores;membranaceo;700.0;900.0;0;344.0;268.0;215.0;rilegato;mezza tela;0;/;blue;#2B9332;Non digitalizzato;6.106837272892533;0.5
44;45;m0040_1;0.0;0.0;0;[IV 2 8];40;_1;XL;38_1;0;0;0;91;0;P. Virgilii M. fragm. Buc. Georg. Aeneid. cum varior. comm.;membranaceo;300.0;400.0;0;61.0;272.0;215.0;fogli sciolti;0;0;/;blue;#FF5733;Non digitalizzato;4.387350976840979;0.15
45;46;m0040_2;0.0;0.0;0;[IV 2 8];40;_2;XL;38_2;0;0;0;91-92;0;T. Livii Fragm.;membranaceo;300.0;400.0;0;60.0;257.0;215.0;fogli sciolti;0;0;/;blue;#FF5733;Non digitalizzato;4.3710288804643405;0.15
46;47;m0040_3;0.0;0.0;0;[IV 2 8];40;_3;XL;38_3;0;0;0;92;0;Anonimi philosophici Tractatus fragm.;membranaceo;400.0;600.0;0;8.0;0.0;0.0;fogli sciolti;0;0;/;blue;#FF5733;Non digitalizzato;2.4350742760401247;0.15
47;48;m0040_4;0.0;0.0;0;[IV 2 8];40;_4;XL;38_4;0;0;0;92;0;Anon. mathematici cuiusdam fragm.;membranaceo;500.0;600.0;0;6.0;0.0;0.0;fogli sciolti;0;0;/;blue;#FF5733;Non digitalizzato;2.176171168138387;0.15
48;49;m0041_0;0.0;0.0;0;[III A 1];41;_0;XLI;39;0;0;0;92-93;0;S. Gregorii M.P. Moralium in Job lib. XVI priores;membranaceo;1000.0;1100.0;0;229.0;490.0;370.0;rilegato;assi coperte di pelle;0;/;blue;#2B9332;Non digitalizzato;5.701035650029663;0.5
49;50;m0042_0;0.0;0.0;0;[III 1 10];42;_0;XLII;40;0;0;0;93;0;S. Gregorii M.P. Pastoralis liber;membranaceo;700.0;900.0;0;153.0;235.0;150.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.299410518839295;0.5
50;51;m0043_0;0.0;0.0;0;[III 1 11];43;_0;XLIII;41;0;0;0;94;0;S. Gregorii M.P. Pastoralis et alia SS. PP. Opuscola;membranaceo;800.0;900.0;0;130.0;256.0;170.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.137390306608239;0.5
51;52;m0044_0;0.0;0.0;0;[III 1 12];44;_0;XLIV;42;0;0;0;94-95;0;S. Gregorii M.P. liber Pastoralis et ex libro Epistolarum, SS. PP. Opuscola;membranaceo;800.0;1000.0;0;178.0;310.0;210.0;rilegato;assi coperte di pelle;0;/;blue;#2B9332;Non digitalizzato;5.450054421639447;0.5
52;53;m0045_0;0.0;0.0;0;[III 1 13];45;_0;XLV;43;0;0;0;95-96;0;S. Gregorii M.P. Excerpta varia;membranaceo;800.0;1000.0;0;180.0;336.0;220.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.461179986977316;0.5
53;54;m0046_0;0.0;0.0;0;[III 1 14];46;_0;XLVI;44;0;0;0;96;0;S. Gregorii M.P. Dialogorum libri quatuor;membranaceo;700.0;800.0;0;147.0;214.0;145.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.2596090221114835;0.5
54;55;m0047_0;0.0;1.0;0;[III 1 15];47;_0;XLVII;45;0;0;0;97;0;Iohannis diaconi Vita S. Gregorii P.;membranaceo;800.0;1100.0;0;160.0;275.0;220.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.343927877800089;0.5
55;56;m0048_0;0.0;0.0;0;[V 1 1];48;_0;XLVIII;46;0;0;0;97-98;0;S. Hieronymi Spuria quaedam, S. Gregorii M.P. Homilia in Evangelia;membranaceo;1000.0;1200.0;0;238.0;310.0;226.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.739457915023577;0.5
56;57;m0049_0;0.0;0.0;0;[V 1 2];49;_0;XLIX;47;0;0;0;98-99;0;S. Zenonis ep. veron. Sermones et alia;cartaceo;1500.0;1600.0;0;135.0;295.0;205.0;rilegato;assi coperte di pelle;0;/;orange;#2B9332;Non digitalizzato;5.174913092543429;0.5
57;58;m0050_0;0.0;0.0;0;[V 1 3];50;_0;L;48;0;0;0;99;0;Vita S. Zenonis et alia;bombacino;1300.0;1400.0;0;31.0;320.0;155.0;rilegato;pergamena;0;/;violet;#2B9332;Non digitalizzato;3.722425039663415;0.5
58;59;m0051_0;0.0;0.0;0;[V 1 4];51;_0;LI;49;0;0;0;99-101;0;S. Maximi ep. Taur. Expositio in Evangelia, Tractatus et Sermones;membranaceo;500.0;700.0;0;156.0;320.0;240.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.318732551290629;0.5
59;60;m0052_0;0.0;0.0;0;[V 1 5];52;_0;LII;50;0;0;0;101-104;0;SS. Patrum Homiliae, Regula S. Benedicti et alia plura;membranaceo;800.0;1000.0;0;276.0;222.0;100.0;rilegato;cartoncino mezza pelle;0;/;blue;#2B9332;Non digitalizzato;5.887145155958566;0.5
60;61;m0053_0;0.0;0.0;0;[V 1 6];53;_0;LIII;51;0;0;0;104;0;Facundi Hermianensis Ad Iustinianum in defensionem trium capitulorum, item Contra Mucianum;membranaceo;600.0;700.0;0;301.0;270.0;230.0;rilegato;assi coperte di pelle;0;http://lezioni.meneghetti.univr.it//manifests/b698a7d2668205fbe7cd023e0ded1784.json;blue;#2B9332;✅;5.97362405606282;0.5
61;62;m0054_0;0.0;0.0;0;[V 1 7];54;_0;LIV;52;0;0;0;105;0;S. Ioan. Chrisostomi in Epist. ad hebraeos interprete Mutiano Scholastico;membranaceo;900.0;930.0;0;175.0;300.0;187.0;rilegato;legatura in pergamena;0;/;blue;#2B9332;Non digitalizzato;5.433130489488534;0.5
62;63;m0055_0;0.0;0.0;0;[V 1 8];55;_0;LV;53;0;0;0;105-106;0;S. Isidori De summo bono. Didascalia apostolorum;membranaceo;600.0;630.0;0;99.0;260.0;172.0;rilegato;legatura in pelle;0;/;blue;#2B9332;Non digitalizzato;4.8668130364529105;0.5
63;64;m0056_0;0.0;0.0;0;[V 1 9];56;_0;LVI;54;0;0;0;106-107;0;S. Isidori hispal. Opuscola quaedam et alia;membranaceo;875.0;930.0;0;91.0;264.0;182.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;4.783229198813431;0.5
64;65;m0057_0;0.0;0.0;0;[V 1 10];57;_0;LVII;55;0;0;0;107-109;0;Acta concilii Ephesini, Concil. Romanum a. 769 sub Stephano III papa;membranaceo;800.0;1100.0;0;110.0;310.0;250.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;4.971403469770134;0.5
65;66;m0058_0;0.0;0.0;0;[V 1 11];58;_0;LVIII;56;0;0;0;109-110;0;Conc. Calcedonensis acta cum epistulis;membranaceo;800.0;1000.0;0;312.0;320.0;260.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;6.009427247482154;0.5
66;67;m0059_0;0.0;0.0;0;[V 1 12];59;_0;LIX;57;0;0;0;111-115;0;Vigili Tapsensis De unita deitate Trinitatis, S. Athanasii De symbolo et alia quaedam Acta synodi Chalcedon.;membranaceo;500.0;700.0;0;255.0;230.0;200.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.80823632942123;0.5
67;68;m0060_0;0.0;0.0;0;[V 1 13];60;_0;LX;58;0;0;0;115;0;Canones conciliurum Africanae provinciae et aliorum plurium conciliorum;membranaceo;600.0;700.0;0;126.0;260.0;200.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.106324190057351;0.5
68;69;m0061_0;0.0;0.0;0;[V 1 14];61;_0;LXI;59;0;0;0;116-118;0;Abbreviatio compendiosa veterum sacrorum canonum Ferrandii vel Cresconii;membranaceo;650.0;750.0;0;76.0;200.0;160.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;4.604753432491749;0.5
69;70;m0062_0;0.0;0.0;0;[V 1 15];62;_0;LXII;60;0;0;0;119-120;tre casse e due cartelle;Cresconii Capitulare concordia canonum SS. PP. Opuscola;membranaceo;700.0;900.0;0;107.0;285.0;185.0;rilegato;cartoncino e mezza pelle;0;/;blue;#2B9332;Non digitalizzato;4.943946314230732;0.5
70;71;m0062_1;0.0;0.0;0;[IV1];62;_1;LXII;60_1;0;0;0;120;I rescritti separati in carte sciolte nel XIX secolo;Iustiniani imper. Codex cum scholiis graecis;membranaceo;500.0;630.0;greco latino;40.0;350.0;275.0;fogli sciolti;0;0;/;blue;#FF5733;Non digitalizzato;3.9718630057841633;0.15
71;72;m0063_0;0.0;1.0;0;[VI 1 1];63;_0;LXIII;61;0;0;0;121-124;0;Collectio canonum et SS. Patrum Opuscola;membranaceo;900.0;1100.0;0;98.0;270.0;200.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;4.856739211486005;0.5
72;73;m0064_0;0.0;1.0;0;[VI 1 2];64;_0;LXIV;62;0;0;0;124-125;0;Apologia Formosi, Collectio dictorum BB. PP. et alia;membranaceo;1050.0;1100.0;0;104.0;213.0;160.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;4.915713927583134;0.5
73;74;m0065_0;0.0;1.0;0;[VI 1 3];65;_0;LXV;63;0;0;0;126;0;Ven. Bedae Martyrologium et alia quaedam;membranaceo;800.0;1000.0;0;60.0;205.0;147.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;4.3710288804643405;0.5
74;75;m0066_0;0.0;0.0;0;[VI 1 4];66;_0;LXVI;63;^;0;0;126-127;0;Martyrologium secundum romanam Curiam cum kalendario in usum Capituli et Ecclesiae veronensis;membranaceo;1300.0;1400.0;0;123.0;255.0;192.0;rilegato;pelle con marche di metallo e doppio fermaglio;0;/;blue;#2B9332;Non digitalizzato;5.082374391251232;0.5
75;76;m0067_0;0.0;0.0;0;[VI 1 5];67;_0;LXVII;64;0;0;0;127-128;0;Albini Flacci Alcuini Opera varia et alia quaedam;membranaceo;900.0;1000.0;0;89.0;250.0;145.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;4.76119411019703;0.5
76;77;m0068_0;0.0;0.0;0;[VI 1 6];68;_0;LXVIII;65;0;0;0;128-129;0;Rabani Mauri Comment. in lib. Iudith et Esther, Ratheri ep. ver. De vita et translationis S. Metronis;membranaceo;800.0;900.0;0;75.0;270.0;220.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;4.591641585758265;0.5
77;78;m0069_0;0.0;0.0;0;[VI 1 7];69;_0;LXIX;66;0;0;0;129-130;0;Pacifici arcidiaconi veron. Glosae super Exodum;membranaceo;800.0;850.0;0;65.0;330.0;220.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;4.4500989436842975;0.5
78;79;m0070_0;0.0;0.0;0;[VI 1 8];70;_0;LXX;67;0;0;0;130;0;Commentarium in lib. Veter. testamenti et aila quaedam;membranaceo;1100.0;1200.0;0;112.0;222.0;150.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;4.9892981567081245;0.5
79;80;m0071_0;0.0;0.0;0;[VI 1 9];71;_0;LXXI;68;0;0;0;131;0;Glossae in Evangelium S. Mathaei;membranaceo;1100.0;1300.0;0;62.0;263.0;180.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;4.403410935301662;0.5
80;81;m0072_0;0.0;0.0;0;[VI 1 10];72;_0;LXXII;69;0;0;0;131-132;0;Glossae in Evangel. Lucae;membranaceo;1100.0;1200.0;0;130.0;271.0;172.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.137390306608239;0.5
81;82;m0073_0;0.0;0.0;0;[VI 1 11];73;_0;LXXIII;70;0;0;0;132;0;Glossae in Evangel. Ioannis (S. Matthaei G.T.);membranaceo;1100.0;1200.0;0;88.0;240.0;168.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;4.749991770526831;0.5
82;83;m0074_0;0.0;0.0;0;[VI 1 12];74;_0;LXXIV;71;0;0;0;132-133;0;D. Pauli apost. Epistolae cum praefationibus;membranaceo;800.0;1100.0;0;133.0;241.0;145.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.160072501994833;0.5
83;84;m0075_0;0.0;0.0;0;[VI 1 13];75;_0;LXXV;72;0;0;0;133;0;Commentar. in Epistol. divi Pauli;membranaceo;800.0;900.0;0;78.0;260.0;170.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;4.6304723688503096;0.5
84;85;m0076_0;0.0;0.0;0;[VI 1 14];76;_0;LXXVI;0;0;0;0;133-134;0;Vener. Bedae Expositio in Epistol. catholicas;membranaceo;800.0;1000.0;0;56.0;270.0;168.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;4.302938332521579;0.5
85;86;m0077_0;0.0;0.0;0;[VI 1 15];77;_0;LXXVII;74;0;0;0;134-138;0;Sermones et homiliae sanctorum Patrum;membranaceo;1100.0;1200.0;0;178.0;395.0;280.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.450054421639447;0.5
86;87;m0078_0;0.0;0.0;0;[VI 1 16];78;_0;LXXVIII;75;0;0;0;138-139;0;Sermones et homiliae SS. Patrum et alia;membranaceo;1000.0;1200.0;0;145.0;320.0;230.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.245981862582043;0.5
87;88;m0079_0;0.0;0.0;0;[VII 1 1];79;_0;LXXIX;76;0;0;0;140-141;0;Evangelia, Lectiones et Epistolae per annum;membranaceo;1100.0;1200.0;0;293.0;360.0;250.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.946755886011244;0.5
